Farmer_ID,Farmer_Name,State,District,Crop_Name,Season,Area_Cultivated_Acres,Expected_Yield_Tonnes,Actual_Yield_Tonnes,Market_Price_per_Tonne,Local_Market_Demand_Tonnes,State_Market_Demand_Tonnes,National_Demand_Tonnes,Soil_Type,Water_Usage_Liters_per_Acre,Fertilizer_Usage_kg_per_Acre,Sustainability_Score,Weather_Condition,Predicted_Demand_for_Next_Season_Tonnes,Overproduction_Risk,Date_Recorded
F00016,Mahesh Sharma,Andhra Pradesh,Anakapalle,Mango,Kharif,7.76,103.56,105.29,59154,556.81,13951.99,12060.38,Laterite,4016.44,41.7,82,Flood,520.67,Low,2025-05-14
F00017,Praveen Naik,Andhra Pradesh,Anakapalle,Sugarcane,Summer,5.43,338.84,323.6,3029,1071.3,13855.67,18866.7,Alluvial,4454.08,67.0,64,Dry,1060.35,Low,2024-12-29
F00018,Amit Das,Andhra Pradesh,Anakapalle,Mango,Kharif,0.58,8.0,7.86,60384,1372.94,14503.19,32972.92,Laterite,3913.86,71.58,92,Dry,1406.37,Medium,2024-06-21
F00019,Vikram Reddy,Andhra Pradesh,Anakapalle,Mango,Kharif,7.75,128.99,110.95,65967,650.44,14538.21,8464.34,Red,5271.64,50.35,89,Normal,737.77,Medium,2025-01-03
F00020,Swati Nair,Andhra Pradesh,Anakapalle,Rice,Kharif,5.88,26.15,24.19,20822,807.14,13930.56,9269.62,Sandy,5981.03,74.3,51,Dry,819.07,Low,2025-02-15
F00021,Mahesh Gupta,Andhra Pradesh,Anakapalle,Mango,Rabi,10.85,100.41,113.88,57670,1459.36,13141.75,26540.98,Sandy,2689.67,119.34,92,Normal,1659.67,Low,2024-03-06
F00022,Sunita Das,Andhra Pradesh,Anakapalle,Groundnut,Rabi,1.09,1.69,1.75,40801,1444.2,14457.23,31063.82,Red,7535.0,109.25,59,Drought,1584.05,High,2025-02-14
F00023,Naveen Naik,Andhra Pradesh,Anakapalle,Mango,Summer,9.2,132.83,133.11,63939,379.65,14397.87,5231.13,Black,2994.31,92.91,99,Drought,443.52,High,2024-11-15
F00024,Naveen Yadav,Andhra Pradesh,Anakapalle,Banana,Rabi,1.11,23.33,20.29,13722,805.93,14163.34,11598.04,Laterite,4061.3,69.26,80,Flood,806.37,Medium,2024-01-10
F00025,Suresh Das,Andhra Pradesh,Anantapuramu,Potato,Summer,14.91,252.24,222.69,10886,1291.09,13094.5,14292.1,Clay,5919.34,31.62,68,Normal,1285.6,Low,2025-03-31
F00026,Ramesh Nair,Andhra Pradesh,Anantapuramu,Mango,Rabi,13.6,131.54,113.59,66502,1288.91,13831.37,17107.03,Black,5106.15,51.36,87,Normal,1192.5,Medium,2024-05-13
F00027,Aarti Das,Andhra Pradesh,Anantapuramu,Tea,Summer,13.71,30.76,26.98,108138,190.42,15552.52,2682.05,Red,1222.57,77.27,67,Flood,177.38,Medium,2025-01-12
F00028,Shalini Patil,Andhra Pradesh,Anantapuramu,Rice,Rabi,1.49,5.43,4.96,21638,337.39,14434.41,6771.56,Red,7143.15,58.79,77,Dry,340.08,Low,2024-11-24
F00029,Divya Kaur,Andhra Pradesh,Anantapuramu,Mango,Summer,14.83,174.24,183.86,53545,532.84,13674.06,5789.82,Laterite,3509.64,63.87,62,Normal,584.89,High,2025-09-03
F00030,Praveen Singh,Andhra Pradesh,Anantapuramu,Mango,Kharif,7.15,60.0,54.35,68231,787.86,13317.71,15903.62,Alluvial,4150.56,97.77,61,Heavy Rainfall,858.23,High,2025-04-16
F00031,Divya Chaudhary,Andhra Pradesh,Anantapuramu,Mango,Summer,1.97,21.63,23.7,48229,897.74,14872.43,20427.14,Black,6462.16,104.24,91,Drought,868.55,Low,2024-09-03
F00032,Rahul Naik,Andhra Pradesh,Anantapuramu,Mango,Summer,12.52,174.95,178.42,64787,1391.67,14707.18,16238.3,Black,6161.8,57.0,60,Normal,1368.37,Medium,2025-02-18
F00033,Swati Bhatt,Andhra Pradesh,Anantapuramu,Cotton,Summer,13.89,28.46,25.12,54108,1147.13,13530.39,27167.17,Clay,6403.01,85.93,92,Drought,1033.74,Medium,2024-05-17
F00034,Aarti Nair,Andhra Pradesh,Anantapuramu,Mango,Kharif,14.36,246.52,221.56,45918,187.63,14027.61,2972.16,Sandy,3930.65,75.85,94,Dry,214.94,High,2025-07-07
F00035,Deepak Chaudhary,Andhra Pradesh,Anantapuramu,Banana,Kharif,5.98,188.61,194.69,11623,1160.62,15429.74,28875.23,Sandy,7821.77,39.82,62,Heavy Rainfall,1226.88,Medium,2025-06-19
F00036,Rahul Bhatt,Andhra Pradesh,Anantapuramu,Wheat,Summer,8.81,27.97,25.35,17303,1478.28,12895.82,20486.17,Clay,1544.26,102.47,68,Drought,1439.53,Low,2024-03-28
F00037,Aarti Bhatt,Andhra Pradesh,Anantapuramu,Mango,Rabi,11.15,149.3,128.67,44000,345.69,15268.44,7356.19,Sandy,1923.28,58.96,79,Normal,326.12,Medium,2024-12-29
F00038,Divya Gupta,Andhra Pradesh,Annamayya,Mango,Summer,6.51,103.75,113.39,58256,358.38,14480.62,4949.98,Black,6545.69,100.8,91,Dry,325.02,High,2025-01-12
F00039,Deepak Reddy,Andhra Pradesh,Annamayya,Mango,Summer,3.81,57.57,57.74,45423,1349.41,13894.44,19343.32,Black,2107.25,33.87,70,Drought,1291.07,Low,2025-01-17
F00040,Naveen Khan,Andhra Pradesh,Annamayya,Mango,Rabi,11.18,151.36,162.81,52603,910.63,15449.45,14697.92,Black,3053.89,98.5,63,Drought,882.22,High,2025-03-03
F00041,Vikram Gupta,Andhra Pradesh,Annamayya,Mango,Summer,8.23,155.25,159.14,48434,321.41,14752.48,6883.61,Sandy,2646.3,73.89,61,Flood,373.77,High,2025-08-28
F00042,Pooja Bhatt,Andhra Pradesh,Annamayya,Mango,Rabi,6.2,59.75,52.66,74340,345.23,14833.4,4568.42,Black,6881.26,72.95,88,Normal,391.07,Medium,2025-07-27
F00043,Deepak Chaudhary,Andhra Pradesh,Annamayya,Mango,Kharif,6.81,119.16,125.49,76167,1213.98,14000.95,19080.58,Alluvial,4909.92,63.92,94,Heavy Rainfall,1262.03,Medium,2024-10-25
F00044,Praveen Kaur,Andhra Pradesh,Annamayya,Groundnut,Rabi,11.15,27.64,29.42,49791,622.64,15498.49,8401.66,Black,3295.89,106.27,51,Normal,744.63,Low,2024-10-22
F00045,Kiran Nair,Andhra Pradesh,Annamayya,Mango,Summer,13.81,132.5,146.74,53588,1113.66,13933.58,26252.41,Clay,5163.62,75.43,70,Heavy Rainfall,1304.24,Medium,2024-02-19
F00046,Aarti Sharma,Andhra Pradesh,Annamayya,Mango,Summer,13.97,184.42,193.5,60012,1342.83,14026.22,17490.37,Clay,4064.31,100.16,86,Flood,1550.46,High,2025-07-24
F00047,Suresh Gupta,Andhra Pradesh,Annamayya,Mango,Rabi,12.46,142.87,124.65,77079,1118.25,12951.84,13580.49,Black,7605.45,62.15,82,Drought,1110.57,High,2024-04-07
F00048,Ramesh Chaudhary,Andhra Pradesh,Bapatla,Rice,Rabi,1.2,4.75,4.43,22287,1320.85,13253.6,14839.79,Black,6978.17,57.68,85,Normal,1517.36,Medium,2024-09-01
F00049,Naveen Joshi,Andhra Pradesh,Bapatla,Potato,Rabi,13.23,277.49,300.72,8116,1233.35,13381.41,26788.24,Black,5919.64,58.61,83,Normal,1136.26,Low,2024-12-17
F00050,Arun Bhatt,Andhra Pradesh,Bapatla,Mango,Summer,2.63,32.27,36.47,74600,1172.94,13176.35,17239.7,Red,2925.27,77.62,75,Heavy Rainfall,1184.62,Medium,2024-12-19
F00051,Deepak Gupta,Andhra Pradesh,Bapatla,Mango,Summer,13.33,153.81,145.86,45270,892.49,15586.18,17805.86,Laterite,6126.63,69.37,98,Normal,950.35,Medium,2024-07-18
F00052,Swati Kaur,Andhra Pradesh,Bapatla,Mango,Kharif,0.51,7.53,6.58,53314,505.77,13690.47,8883.41,Sandy,7829.66,60.05,74,Flood,580.37,Low,2024-02-28
F00053,Swati Naik,Andhra Pradesh,Bapatla,Maize,Summer,6.63,22.88,23.28,18333,700.9,12843.08,12963.84,Laterite,1381.52,36.84,78,Normal,676.22,Medium,2024-02-06
F00054,Deepak Sharma,Andhra Pradesh,Bapatla,Mango,Rabi,2.44,35.55,32.8,46001,227.09,14668.79,2538.27,Sandy,4025.13,37.5,75,Flood,239.23,Medium,2025-08-18
F00055,Rahul Naik,Andhra Pradesh,Chittoor,Rice,Summer,12.47,72.93,71.96,23648,1199.79,14718.66,15932.44,Clay,7509.08,68.75,83,Normal,1139.32,High,2024-11-12
F00056,Praveen Bhatt,Andhra Pradesh,Chittoor,Mango,Summer,14.61,165.35,159.87,52906,200.05,13170.87,3492.14,Red,3442.25,42.03,87,Dry,200.78,Medium,2024-12-31
F00057,Pooja Gowda,Andhra Pradesh,Chittoor,Banana,Summer,9.32,190.24,190.57,11152,718.58,13674.61,16438.95,Red,7928.73,39.27,87,Flood,750.25,Low,2024-12-28
F00058,Arun Verma,Andhra Pradesh,Chittoor,Mango,Rabi,8.98,110.89,104.55,78058,625.33,14953.83,8082.83,Black,7146.24,108.81,95,Normal,678.39,High,2024-02-28
F00059,Shalini Das,Andhra Pradesh,Chittoor,Mango,Kharif,7.57,96.47,98.24,75275,1333.01,14603.28,27167.29,Black,5308.55,72.42,100,Dry,1444.26,Low,2024-08-13
F00060,Swati Gupta,Andhra Pradesh,Chittoor,Mango,Summer,14.84,238.12,224.89,41429,380.96,15432.42,6240.74,Alluvial,4691.13,100.41,74,Normal,380.95,Low,2025-09-14
F00061,Divya Gowda,Andhra Pradesh,Chittoor,Mango,Kharif,5.64,52.16,47.05,62151,533.41,13810.96,7377.65,Sandy,6143.91,100.83,66,Heavy Rainfall,493.54,High,2025-04-02
F00062,Rahul Gowda,Andhra Pradesh,Chittoor,Mango,Summer,8.81,81.01,91.75,56794,1311.73,13383.54,20933.24,Clay,7544.38,104.39,67,Heavy Rainfall,1566.4,High,2024-02-07
F00063,Naveen Naik,Andhra Pradesh,East Godavari,Mango,Rabi,14.83,178.49,184.23,47184,572.61,15237.77,12639.44,Clay,2499.25,117.67,86,Dry,656.54,Medium,2025-03-02
F00064,Mahesh Nair,Andhra Pradesh,East Godavari,Rice,Rabi,1.09,3.62,4.13,21351,1496.67,13003.13,29791.32,Black,1820.94,79.74,73,Drought,1554.01,Low,2024-02-12
F00065,Swati Naik,Andhra Pradesh,East Godavari,Rice,Rabi,3.22,16.31,15.27,23392,547.38,12909.56,10295.73,Black,2075.2,113.24,84,Drought,582.4,Medium,2025-05-01
F00066,Pooja Gowda,Andhra Pradesh,East Godavari,Mango,Rabi,3.25,59.91,60.92,67036,1434.52,14682.3,24778.47,Sandy,7966.5,32.8,76,Heavy Rainfall,1435.62,High,2025-09-15
F00067,Kiran Joshi,Andhra Pradesh,East Godavari,Mango,Rabi,8.19,93.5,95.58,75539,1452.68,14547.11,29192.18,Laterite,1193.83,42.33,62,Flood,1373.17,Medium,2024-10-07
F00068,Swati Chaudhary,Andhra Pradesh,East Godavari,Sugarcane,Kharif,6.3,534.86,556.41,4146,1348.81,13805.23,26624.27,Alluvial,5996.55,117.77,55,Heavy Rainfall,1607.73,High,2024-09-08
F00069,Suresh Gowda,Andhra Pradesh,East Godavari,Wheat,Summer,11.48,43.27,42.17,16637,724.95,14814.97,7728.04,Sandy,1261.58,59.03,64,Dry,787.18,Low,2024-09-29
F00070,Mahesh Das,Andhra Pradesh,East Godavari,Mango,Summer,3.99,46.51,43.12,41834,723.02,15231.93,16625.2,Sandy,1706.52,31.69,60,Dry,841.79,Medium,2024-04-29
F00071,Amit Bhatt,Andhra Pradesh,East Godavari,Mango,Kharif,13.02,226.26,203.39,52979,494.31,14167.74,9102.15,Black,4392.01,116.65,84,Heavy Rainfall,535.46,Low,2024-02-21
F00072,Ramesh Singh,Andhra Pradesh,East Godavari,Mango,Rabi,8.39,118.55,108.56,69452,883.2,14353.73,9064.48,Red,2584.11,36.58,76,Normal,1020.92,High,2024-03-13
F00073,Divya Das,Andhra Pradesh,East Godavari,Mango,Summer,0.96,18.26,19.96,60559,607.96,14534.49,10724.74,Alluvial,1442.13,101.89,75,Drought,631.02,Low,2025-07-04
F00074,Arun Yadav,Andhra Pradesh,East Godavari,Sugarcane,Kharif,7.81,512.8,449.76,4148,280.21,13839.26,4941.16,Sandy,1359.24,70.7,86,Heavy Rainfall,282.45,Low,2024-11-22
F00075,Vikram Chaudhary,Andhra Pradesh,East Godavari,Sugarcane,Kharif,4.35,415.04,359.91,3262,625.56,13086.32,10584.49,Clay,4652.76,93.51,83,Flood,733.17,Medium,2024-07-02
F00076,Divya Kumar,Andhra Pradesh,East Godavari,Wheat,Summer,13.99,56.45,63.21,20259,1296.55,13028.28,19192.79,Red,1357.48,56.03,86,Drought,1266.34,High,2025-05-27
F00077,Suresh Bhatt,Andhra Pradesh,East Godavari,Mango,Rabi,1.72,30.17,32.52,71681,1386.86,15366.45,27037.87,Red,6502.62,104.49,90,Normal,1575.57,High,2025-07-21
F00078,Pooja Sharma,Andhra Pradesh,Eluru,Rice,Summer,10.0,51.55,46.45,18372,1439.98,14431.65,28461.56,Black,5827.31,36.84,62,Drought,1347.23,Medium,2024-02-29
F00079,Naveen Verma,Andhra Pradesh,Eluru,Mango,Rabi,10.65,190.75,169.77,44978,1139.84,14145.19,18493.41,Black,5294.49,55.51,80,Normal,1302.03,Medium,2024-03-11
F00080,Naveen Khan,Andhra Pradesh,Eluru,Mango,Kharif,3.52,39.76,43.92,69415,885.49,15109.51,17940.62,Red,3248.05,111.13,71,Drought,957.11,Low,2025-01-03
F00081,Deepak Reddy,Andhra Pradesh,Eluru,Mango,Summer,4.89,77.38,83.47,46494,1375.49,15072.34,21372.66,Sandy,3985.02,61.72,84,Heavy Rainfall,1429.74,Medium,2024-02-04
F00082,Aarti Nair,Andhra Pradesh,Eluru,Wheat,Summer,12.25,35.43,32.74,18988,173.62,14670.83,4097.96,Alluvial,7275.89,53.15,60,Normal,199.14,High,2024-08-19
F00083,Suresh Chaudhary,Andhra Pradesh,Eluru,Mango,Summer,7.37,82.1,89.85,60583,1286.91,15512.08,27325.64,Sandy,5519.74,100.59,78,Normal,1390.19,Medium,2024-03-29
F00084,Vikram Singh,Andhra Pradesh,Eluru,Rice,Rabi,7.83,37.05,40.21,22452,1274.13,14740.23,16220.84,Sandy,4491.82,75.14,63,Dry,1445.1,High,2024-05-15
F00085,Arun Chaudhary,Andhra Pradesh,Guntur,Mango,Kharif,1.66,26.95,27.39,63477,210.74,12980.79,3486.39,Laterite,3304.46,30.4,90,Heavy Rainfall,220.84,High,2024-12-08
F00086,Amit Yadav,Andhra Pradesh,Guntur,Wheat,Kharif,2.14,10.68,9.76,18346,963.94,14898.02,19121.29,Black,1711.12,51.24,87,Flood,1084.88,High,2024-12-25
F00087,Naveen Joshi,Andhra Pradesh,Guntur,Maize,Rabi,3.39,12.09,10.65,18750,123.91,15504.97,2882.5,Sandy,1447.09,73.63,49,Heavy Rainfall,147.07,Low,2024-04-08
F00088,Swati Yadav,Andhra Pradesh,Guntur,Mango,Rabi,0.99,17.29,15.34,49771,1415.32,13914.21,15916.08,Alluvial,5247.58,68.07,63,Dry,1468.18,Medium,2024-11-12
F00089,Pooja Gowda,Andhra Pradesh,Guntur,Sugarcane,Rabi,8.03,483.59,538.71,3124,675.57,14360.87,16287.35,Alluvial,4846.03,58.63,91,Normal,608.08,Medium,2025-08-11
F00090,Arun Yadav,Andhra Pradesh,Guntur,Tea,Rabi,1.79,6.37,5.76,98581,976.0,14749.14,11007.72,Black,6951.14,90.82,81,Flood,1004.57,High,2025-06-22
F00091,Naveen Patil,Andhra Pradesh,Guntur,Mango,Summer,1.78,21.83,24.1,71173,1120.66,13431.13,27570.79,Black,4293.87,82.95,99,Normal,1240.09,Medium,2025-02-15
F00092,Shalini Patil,Andhra Pradesh,Guntur,Wheat,Rabi,12.25,58.02,62.02,18349,1068.55,13290.39,20700.17,Laterite,5410.7,81.48,61,Heavy Rainfall,1073.44,Medium,2025-01-09
F00093,Arun Khan,Andhra Pradesh,Guntur,Banana,Rabi,2.06,68.66,63.22,11064,149.03,13068.64,2633.26,Alluvial,3761.19,45.68,85,Heavy Rainfall,177.61,Medium,2024-04-17
F00094,Suresh Nair,Andhra Pradesh,YSR Kadapa,Mango,Kharif,13.15,139.09,140.69,57064,589.82,15574.17,9086.01,Red,3465.81,68.18,95,Heavy Rainfall,664.15,Low,2024-10-10
F00095,Shalini Verma,Andhra Pradesh,YSR Kadapa,Mango,Rabi,3.05,47.49,50.0,71564,823.19,14360.47,8527.67,Alluvial,3635.45,43.62,81,Dry,889.67,Medium,2025-09-18
F00096,Mahesh Reddy,Andhra Pradesh,YSR Kadapa,Mango,Rabi,8.35,134.46,151.08,42369,180.9,13949.09,2163.27,Clay,4248.21,93.57,99,Dry,196.94,Low,2025-03-17
F00097,Deepak Nair,Andhra Pradesh,YSR Kadapa,Mango,Kharif,11.75,230.41,260.34,48448,933.28,14952.55,12026.04,Laterite,2927.66,113.76,69,Heavy Rainfall,1016.91,Low,2024-11-01
F00098,Amit Patil,Andhra Pradesh,YSR Kadapa,Mango,Summer,13.24,195.65,214.25,77712,1069.52,13819.68,25491.32,Sandy,3295.62,53.99,80,Normal,1219.26,Low,2025-07-05
F00099,Deepak Naik,Andhra Pradesh,YSR Kadapa,Mango,Kharif,12.28,98.47,99.89,65500,340.74,15391.29,7088.31,Black,6894.25,111.14,94,Normal,360.5,Medium,2025-03-04
F00100,Praveen Reddy,Andhra Pradesh,YSR Kadapa,Mango,Summer,6.32,90.1,101.31,49554,861.42,15417.12,15185.32,Clay,5717.07,88.65,78,Drought,884.02,Medium,2025-06-29
F00101,Ramesh Bhatt,Andhra Pradesh,YSR Kadapa,Wheat,Summer,13.67,35.55,33.17,19271,712.89,14409.08,12995.13,Laterite,6367.75,113.22,47,Flood,759.93,High,2025-09-29
F00102,Divya Das,Andhra Pradesh,YSR Kadapa,Rice,Kharif,8.5,26.97,29.49,19037,1373.98,15359.91,18397.57,Alluvial,7106.41,52.89,59,Heavy Rainfall,1236.8,High,2025-07-19
F00103,Vikram Gupta,Andhra Pradesh,YSR Kadapa,Mango,Rabi,13.6,151.03,145.31,50283,1232.41,12819.81,27342.3,Alluvial,4827.99,59.2,77,Flood,1473.26,High,2024-08-29
F00104,Naveen Verma,Andhra Pradesh,YSR Kadapa,Mango,Rabi,2.12,21.99,19.66,68490,485.92,12903.26,10490.93,Laterite,4257.39,111.47,65,Heavy Rainfall,476.0,Medium,2025-05-07
F00105,Naveen Sharma,Andhra Pradesh,YSR Kadapa,Potato,Rabi,5.13,77.49,69.63,9337,829.82,14178.36,19272.7,Black,4896.2,44.04,46,Flood,963.81,High,2024-06-28
F00106,Naveen Gowda,Andhra Pradesh,YSR Kadapa,Tea,Summer,5.4,11.02,10.7,102479,1054.49,12959.99,11529.19,Red,1172.49,41.51,90,Heavy Rainfall,1226.44,Medium,2025-03-24
F00107,Naveen Chaudhary,Andhra Pradesh,Kakinada,Groundnut,Summer,1.28,2.54,2.46,42816,1446.37,14063.45,18526.74,Black,5623.78,111.62,54,Heavy Rainfall,1733.24,Medium,2025-02-09
F00108,Sunita Naik,Andhra Pradesh,Kakinada,Mango,Kharif,1.52,16.71,16.91,76459,352.44,13958.19,4580.48,Clay,7486.75,80.8,95,Heavy Rainfall,358.75,Low,2024-04-07
F00109,Shalini Naik,Andhra Pradesh,Kakinada,Mango,Kharif,6.14,87.29,82.15,72583,974.81,13105.03,21985.63,Black,3370.63,54.32,68,Drought,1070.75,Medium,2025-07-10
F00110,Naveen Chaudhary,Andhra Pradesh,Kakinada,Cotton,Summer,9.43,21.67,20.0,60962,988.39,14562.8,19414.91,Red,7195.13,75.66,87,Heavy Rainfall,1012.11,Low,2024-01-17
F00111,Shalini Patil,Andhra Pradesh,Kakinada,Mango,Kharif,10.4,206.64,212.77,77573,765.3,13478.28,8286.6,Clay,3375.83,70.0,77,Normal,916.13,Low,2024-01-13
F00112,Suresh Chaudhary,Andhra Pradesh,Kakinada,Rice,Kharif,14.96,48.79,52.55,24014,1430.49,15320.79,19610.8,Red,2939.48,98.05,69,Drought,1343.95,Medium,2025-04-19
F00113,Rahul Reddy,Andhra Pradesh,Kakinada,Potato,Kharif,13.35,313.46,333.75,9324,348.86,13882.35,7020.26,Clay,2149.76,91.93,62,Drought,348.48,Medium,2025-08-28
F00114,Rajesh Singh,Andhra Pradesh,Kakinada,Mango,Kharif,13.24,128.62,123.04,79857,483.62,14178.28,7494.81,Clay,5482.97,114.92,72,Heavy Rainfall,447.1,High,2024-10-27
F00115,Arun Nair,Andhra Pradesh,Kakinada,Mango,Summer,8.01,119.94,108.38,56390,1062.17,15335.31,18908.19,Sandy,6548.21,63.47,77,Heavy Rainfall,1029.17,High,2024-10-02
F00116,Naveen Kumar,Andhra Pradesh,Kakinada,Wheat,Kharif,6.38,27.35,25.56,18712,226.72,14162.4,3287.2,Red,5823.93,33.5,58,Dry,241.42,Low,2025-08-27
F00117,Suresh Naik,Andhra Pradesh,Kakinada,Mango,Rabi,6.74,91.93,86.21,62734,1022.55,13831.8,20557.99,Clay,2919.51,49.8,75,Flood,1197.57,Low,2024-02-03
F00118,Amit Gupta,Andhra Pradesh,Konaseema,Mango,Kharif,5.21,102.25,95.4,76371,252.9,14164.05,2835.54,Black,2649.0,72.71,88,Normal,273.01,Low,2025-07-03
F00119,Swati Chaudhary,Andhra Pradesh,Konaseema,Mango,Summer,11.65,190.34,177.24,45967,845.55,13223.71,9806.93,Sandy,1834.98,42.98,82,Dry,774.95,High,2024-08-05
F00120,Naveen Naik,Andhra Pradesh,Konaseema,Rice,Summer,13.51,50.29,56.14,19724,802.16,15531.57,19903.25,Laterite,6139.84,47.69,76,Heavy Rainfall,869.75,High,2025-07-22
F00121,Aarti Bhatt,Andhra Pradesh,Konaseema,Mango,Kharif,4.37,40.56,37.86,46189,530.32,15228.27,5855.87,Red,5956.73,97.24,94,Heavy Rainfall,525.38,High,2025-09-06
F00122,Rajesh Verma,Andhra Pradesh,Konaseema,Mango,Kharif,10.84,133.49,138.23,66232,132.65,13818.13,1648.14,Sandy,2772.9,44.52,73,Heavy Rainfall,153.75,Medium,2024-01-09
F00123,Amit Verma,Andhra Pradesh,Konaseema,Mango,Rabi,0.65,11.05,11.03,43692,598.51,15626.71,13324.31,Clay,6539.47,71.74,65,Normal,606.01,Medium,2024-04-03
F00124,Naveen Yadav,Andhra Pradesh,Konaseema,Maize,Rabi,0.83,3.04,2.78,15521,550.56,13757.45,6212.7,Clay,3210.58,45.45,61,Dry,651.82,High,2024-03-02
F00125,Kiran Chaudhary,Andhra Pradesh,Konaseema,Mango,Summer,10.7,96.95,84.25,65918,606.05,14047.68,8490.63,Alluvial,7821.19,51.55,82,Dry,659.02,Low,2024-02-15
F00126,Vikram Joshi,Andhra Pradesh,Konaseema,Mango,Summer,9.44,169.59,153.24,72775,174.65,14966.58,4058.38,Black,5773.51,101.22,78,Flood,204.89,Low,2024-05-29
F00127,Mahesh Gowda,Andhra Pradesh,Konaseema,Mango,Rabi,9.98,195.79,197.02,79761,339.46,14351.92,3791.1,Laterite,4557.79,64.41,77,Normal,327.77,High,2025-09-22
F00128,Arun Gowda,Andhra Pradesh,Krishna,Mango,Kharif,3.64,45.08,41.12,72739,848.39,14815.52,9890.4,Black,3351.94,39.0,98,Drought,853.84,Low,2025-08-08
F00129,Kiran Singh,Andhra Pradesh,Krishna,Groundnut,Kharif,2.22,4.39,4.82,40384,218.17,15588.58,3511.7,Sandy,1264.79,55.73,71,Normal,205.2,Medium,2024-11-20
F00130,Mahesh Joshi,Andhra Pradesh,Krishna,Rice,Kharif,12.63,43.5,43.83,22934,1498.07,14927.36,36588.76,Alluvial,4353.59,62.98,74,Normal,1638.86,Medium,2024-02-09
F00131,Vikram Gupta,Andhra Pradesh,Krishna,Sugarcane,Summer,8.38,738.1,628.68,3363,999.89,13456.64,24456.05,Clay,7394.0,72.17,54,Normal,1009.02,Medium,2025-02-17
